date,Tanishq,Titan watches,isPartial
2020-03-29,7.0,6.7,False
2020-04-05,7.0,6.7,False
2020-04-12,7.0,6.7,False
2020-04-19,12.0,6.7,False
2020-04-26,14.0,6.7,False
2020-05-03,10.0,13.3,False
2020-05-10,12.0,13.3,False
2020-05-17,14.0,13.3,False
2020-05-24,14.0,20.0,False
2020-05-31,16.0,20.0,False
2020-06-07,15.0,20.0,False
2020-06-14,14.0,20.0,False
2020-06-21,16.0,26.7,False
2020-06-28,16.0,26.7,False
2020-07-05,17.0,26.7,False
2020-07-12,15.0,20.0,False
2020-07-19,16.0,26.7,False
2020-07-26,18.0,26.7,False
2020-08-02,18.0,26.7,False
2020-08-09,19.0,26.7,False
2020-08-16,17.0,26.7,False
2020-08-23,19.0,26.7,False
2020-08-30,17.0,26.7,False
2020-09-06,16.0,26.7,False
2020-09-13,18.0,26.7,False
2020-09-20,19.0,26.7,False
2020-09-27,22.0,26.7,False
2020-10-04,21.0,26.7,False
2020-10-11,100.0,33.3,False
2020-10-18,35.0,40.0,False
2020-10-25,29.0,40.0,False
2020-11-01,30.0,40.0,False
2020-11-08,45.0,46.7,False
2020-11-15,27.0,46.7,False
2020-11-22,26.0,33.3,False
2020-11-29,24.0,33.3,False
2020-12-06,21.0,33.3,False
2020-12-13,18.0,33.3,False
2020-12-20,19.0,33.3,False
2020-12-27,18.0,33.3,False
2021-01-03,20.0,33.3,False
2021-01-10,22.0,33.3,False
2021-01-17,22.0,33.3,False
2021-01-24,21.0,33.3,False
2021-01-31,25.0,33.3,False
2021-02-07,27.0,40.0,False
2021-02-14,27.0,33.3,False
2021-02-21,25.0,33.3,False
2021-02-28,27.0,33.3,False
2021-03-07,30.0,33.3,False
2021-03-14,25.0,26.7,False
2021-03-21,22.0,26.7,False
2021-03-28,22.0,26.7,False
2021-04-04,20.0,26.7,False
2021-04-11,18.0,26.7,False
2021-04-18,15.0,20.0,False
2021-04-25,13.0,20.0,False
2021-05-02,15.0,20.0,False
2021-05-09,17.0,20.0,False
2021-05-16,14.0,20.0,False
2021-05-23,14.0,20.0,False
2021-05-30,15.0,20.0,False
2021-06-06,17.0,26.7,False
2021-06-13,19.0,26.7,False
2021-06-20,20.0,26.7,False
2021-06-27,24.0,26.7,False
2021-07-04,23.0,26.7,False
2021-07-11,20.0,26.7,False
2021-07-18,20.0,33.3,False
2021-07-25,20.0,26.7,False
2021-08-01,19.0,26.7,False
2021-08-08,25.0,33.3,False
2021-08-15,25.0,33.3,False
2021-08-22,22.0,33.3,False
2021-08-29,19.0,26.7,False
2021-09-05,19.0,26.7,False
2021-09-12,22.0,26.7,False
2021-09-19,19.0,26.7,False
2021-09-26,19.0,26.7,False
2021-10-03,20.0,33.3,False
2021-10-10,24.0,33.3,False
2021-10-17,27.0,33.3,False
2021-10-24,28.0,33.3,False
2021-10-31,38.0,40.0,False
2021-11-07,20.0,40.0,False
2021-11-14,18.0,33.3,False
2021-11-21,19.0,33.3,False
2021-11-28,20.0,33.3,False
2021-12-05,19.0,33.3,False
2021-12-12,19.0,33.3,False
2021-12-19,17.0,33.3,False
2021-12-26,17.0,33.3,False
2022-01-02,20.0,33.3,False
2022-01-09,18.0,26.7,False
2022-01-16,17.0,26.7,False
2022-01-23,19.0,26.7,False
2022-01-30,26.0,33.3,False
2022-02-06,28.0,40.0,False
2022-02-13,27.0,40.0,False
2022-02-20,22.0,33.3,False
2022-02-27,22.0,33.3,False
2022-03-06,20.0,33.3,False
2022-03-13,17.0,33.3,False
2022-03-20,19.0,33.3,False
2022-03-27,18.0,26.7,False
2022-04-03,42.0,66.7,False
2022-04-10,52.0,66.7,False
2022-04-17,51.0,73.3,False
2022-04-24,52.0,80.0,False
2022-05-01,68.0,93.3,False
2022-05-08,44.0,80.0,False
2022-05-15,44.0,73.3,False
2022-05-22,43.0,73.3,False
2022-05-29,44.0,86.7,False
2022-06-05,42.0,86.7,False
2022-06-12,42.0,80.0,False
2022-06-19,40.0,80.0,False
2022-06-26,41.0,73.3,False
2022-07-03,41.0,73.3,False
2022-07-10,43.0,73.3,False
2022-07-17,42.0,73.3,False
